מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תחום,מחוז תקשוב,,,,,,,,
117002- אל-מוטראן,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,ריצ'רד זנאנירי,ז,1,רגיל,31,0,מדעים,העיר ירושלים,,,,,,,,
"117010- ביה""ס אל-פריר",ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,דאוד כסאברי,ז,1,רגיל,34,0,מדעים,העיר ירושלים,,,,,,,,
118125- טור מכין לבנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,כאלד ראשיד,ז,1,רגיל,22,0,מדעים,העיר ירושלים,,,,,,,,
118364- איברהמיה,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,נהאד נאסר,ז,1,רגיל,35,0,מדעים,העיר ירושלים,,,,,,,,
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,1,רגיל,40,0,מדעים,העיר ירושלים,,,,,,,,
143404- אהל שילה בנים,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,רפאל ממן,ז,1,רגיל,30,0,מדעים,ירושלים,,,,,,,,
144097- המרכז הישראלי למצוינות בחינוך,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נועה שפי,ז,1,רגיל,28,0,מדעים,העיר ירושלים,,,,,,,,
144626- תבל גבעה צרפתית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נחמה נשי נפתלי,ז,1,רגיל,28,0,מדעים,העיר ירושלים,,,,,,,,
148189- טרה סנטה גבשה בנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,איברהים פלתס,ז,1,רגיל,20,0,מדעים,העיר ירושלים,,,,,,,,
160739- מנזר רוזרי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,הודה קיקיה,ז,1,רגיל,40,0,מדעים,העיר ירושלים,,,,,,,,
168021- צור באהר בנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,הנאדי יעיש,ז,1,רגיל,20,0,מדעים,העיר ירושלים,,,,,,,,
178194- על יסודי אלחית כפר עקב,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,עיסא נאסר,ז,1,רגיל,42,0,מדעים,העיר ירושלים,,,,,,,,
184010- פריר בית חנינא,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,גורג נבר,ז,2,רגיל,38,0,מדעים,העיר ירושלים,,,,,,,,
186395- ראשית,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,שרה אבישי,ז,1,רגיל,28,0,מדעים,ירושלים,,,,,,,,
187575- ביס שמידט קולג' בנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,דיתריש בוימר,ז,1,רגיל,10,0,מדעים,העיר ירושלים,,,,,,,,
238493- יסודי אלאימאן לבנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,השאם בצבוצ,ז,1,רגיל,20,0,מדעים,העיר ירושלים,,,,,,,,
238501- יסודי אלאימאן בנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מדלין חמורי,ז,1,רגיל,29,0,מדעים,העיר ירושלים,,,,,,,,
239905- ג'רוזלם סקול יסודי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מג'ד רביע,ז,1,רגיל,32,0,מדעים,העיר ירושלים,,,,,,,,
247411- תיכון סנט טרקמנצ'ץ,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,נארק אברהמיאן,ז,1,רגיל,8,0,מדעים,העיר ירושלים,,,,,,,,
267930- אלמוסתקבל אלאהלייה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,ענאיה אבו סנינה,ז,1,רגיל,29,0,מדעים,העיר ירושלים,,,,,,,,
"267955- ביה""ס אמליסון",ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,וסים עלי,ז,1,רגיל,22,0,מדעים,העיר ירושלים,,,,,,,,
338343- יסודי דאר אלאולאד,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,אוסאמה מושעשע,ז,1,רגיל,22,0,מדעים,העיר ירושלים,,,,,,,,
338434- ברידג' אינטרנשיונל,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,שירין שחאדה,ז,1,רגיל,16,0,מדעים,העיר ירושלים,,,,,,,,
